timestamp,open,high,low,close,volume
2025-09-29 06:00:00+00:00,5.4686,5.5436,5.3365,5.5063,3771063.6
2025-09-29 07:00:00+00:00,5.5062,5.63,5.3003,5.618,4209600.1
2025-09-29 08:00:00+00:00,5.6219,6.18,5.5568,6.0583,7565484.6
2025-09-29 09:00:00+00:00,6.0584,6.258,6.0068,6.1381,3088020.5
2025-09-29 10:00:00+00:00,6.1384,6.2194,6.0563,6.107,1809406.1
2025-09-29 11:00:00+00:00,6.1079,6.362,6.0643,6.1938,2207569.0
2025-09-29 12:00:00+00:00,6.1931,6.2999,6.0202,6.1241,2266790.8
2025-09-29 13:00:00+00:00,6.1236,6.264,6.0475,6.1018,1793218.2
2025-09-29 14:00:00+00:00,6.1022,6.2456,5.9156,6.1146,2428464.6
2025-09-29 15:00:00+00:00,6.1162,6.2,5.948,5.9646,1578483.2
2025-09-29 16:00:00+00:00,5.9661,6.0645,5.888,5.9561,1778836.4
2025-09-29 17:00:00+00:00,5.9561,6.5397,5.9412,6.4805,6077864.4
2025-09-29 18:00:00+00:00,6.4789,6.7594,6.4187,6.706,3884817.2
2025-09-29 19:00:00+00:00,6.7052,6.7859,6.5786,6.6247,2916377.1
2025-09-29 20:00:00+00:00,6.6264,6.813,6.6235,6.7211,1664614.2
2025-09-29 21:00:00+00:00,6.7202,6.8786,6.68,6.7646,1441671.0
2025-09-29 22:00:00+00:00,6.7648,6.8002,6.654,6.6843,1050663.7
2025-09-29 23:00:00+00:00,6.6843,6.7487,6.61,6.6761,1144805.3
2025-09-30 00:00:00+00:00,6.676,6.8011,6.6527,6.7236,1354343.6
2025-09-30 01:00:00+00:00,6.7236,6.7999,6.6354,6.7069,1195689.4
2025-09-30 02:00:00+00:00,6.7065,6.7734,6.6272,6.7568,1033237.9
2025-09-30 03:00:00+00:00,6.7567,6.84,6.68,6.7023,1257076.7
2025-09-30 04:00:00+00:00,6.7021,6.85,6.7017,6.7567,1095931.5
2025-09-30 05:00:00+00:00,6.7574,6.8404,6.58,6.7767,2458298.8
2025-09-30 06:00:00+00:00,6.7763,6.8348,6.6755,6.7131,1487433.5
2025-09-30 07:00:00+00:00,6.7138,6.74,6.5426,6.6034,2513017.7
2025-09-30 08:00:00+00:00,6.6045,6.7331,6.5844,6.644,1454589.0
2025-09-30 09:00:00+00:00,6.644,6.76,6.6384,6.721,1108346.5
2025-09-30 10:00:00+00:00,6.721,6.7576,6.5521,6.5667,1334225.8
2025-09-30 11:00:00+00:00,6.5666,6.75,6.558,6.7173,1671722.3
2025-09-30 12:00:00+00:00,6.7163,7.573,6.5215,6.7718,5627889.4
2025-09-30 13:00:00+00:00,6.7713,7.34,6.7102,7.1263,5805388.5
2025-09-30 14:00:00+00:00,7.1293,7.1837,6.9231,7.1045,3369255.0
2025-09-30 15:00:00+00:00,7.1044,7.1767,6.9623,7.1234,2404521.9
2025-09-30 16:00:00+00:00,7.1212,9.4,6.535,8.0014,24377665.5
2025-09-30 17:00:00+00:00,8.0009,17.935,7.5198,8.7032,53141091.3
2025-09-30 18:00:00+00:00,8.7043,8.9601,6.897,7.7227,17033624.8
2025-09-30 19:00:00+00:00,7.7227,7.7891,7.0,7.3328,6363806.6
2025-09-30 20:00:00+00:00,7.333,7.5123,6.8758,7.0242,4012556.5
2025-09-30 21:00:00+00:00,7.0261,7.86,6.87,7.7419,3740165.1
